index,title,institute,tag,description,
91,จากแนวคิดวิจัยสู่การปฏิบัติ | Research Concepts to Practice,มหาวิทยาลัยเกษตรศาสตร์,['การศึกษาและการฝึกอบรม'],แนวคิดและจุดมุ่งหมายของการวิจัยทางการศึกษา กระบวนการในการวิจัย ชนิดของตัวแปรวิจัย การกำหนดประเด็นปัญหาและคำถามการวิจัย การออกแบบการวิจัย การเลือกประชากรและตัวอย่าง การประยุกต์ใช้สถิติขั้นพื้นฐานในการวิจัย,
92,เทคโนโลยีคอมพิวเตอร์และการจัดการสารสนเทศเพื่อสังคมและเศรษฐกิจ | Computer Technology and Information Management for Society and Economics,มหาวิทยาลัยขอนแก่น,['คอมพิวเตอร์และเทคโนโลยี'],"บทบาทของเทคโนโลยีคอมพิวเตอร์และการจัดการสารสนเทศต่อสังคม และเศรษฐกิจ, ความปลอดภัยในการใช้คอมพิวเตอร์, จรรยาบรรณและข้อควรระวังในการใช้คอมพิวเตอร์, ประเภทของคอมพิวเตอร์, การเลือกใช้คอมพิวเตอร์ประเภทต่างๆ, ส่วนประกอบและการทำงานของคอมพิวเตอร์เบื้องต้นและเทคโนโลยีฮาร์ดแวร์อุบัติใหม่, เทคโนโลยีคลาวด์และแอปพลิเคชันบนคลาวด์, แอปพลิเคชันเพื่อการเรียนรู้ในศตวรรษที่ 21 และการประยุกต์ใช้เทคโนโลยีคอมพิวเตอร์และการจัดการสารสนเทศเพื่อสังคมและเศรษฐกิจ",
93,การสร้างเว็บไซต์พาณิชย์อิเล็กทรอนิกส์ ตอบโจทย์ธุรกิจออนไลน์ |E-Commerce Website Development for Online Business,มหาวิทยาลัยราชภัฏนครราชสีมา,['คอมพิวเตอร์และเทคโนโลยี'],แนวคิด หลักการ และกระบวนการออกแบบและพัฒนาเว็บไซต์สำหรับพาณิชย์อิเล็กทรอนิกส์,
94,เอสเอ็มอี สตาร์ทอัพ | SME Startup,มหาวิทยาลัยสุโขทัยธรรมาธิราช,['ธุรกิจและการบริหารจัดการ'],,
95,ความรู้เบื้องต้นเกี่ยวกับกฎหมายการแพทย์ |Introduction to Medical Law,มหาวิทยาลัยนเรศวร,['สุขภาพและการแพทย์'],นโยบายของรัฐและกฎหมายที่เกี่ยวกับการแพทย์มีการปฎิรูปที่สำคัญปรากฏในรัฐธรรมนูญแห่งราชอาณาจักรไทย ฉบับ พ.ศ.2540 จนกระทั่งปัจจุบันรัฐได้มีการปรับปรุงการบริการทางแพทย์ด้วยกลไกใหม่ๆ หลายประการ ทั้งหมดนี้ด้วยความมุ่งหมายว่าบริการสาธารณะทางการแพทย์ที่ดีเพื่อยกระดับคุณภาพชีวิตและลดความเหลื่อมล้ำของสังคม การเรียนรู้กฎหมายการแพทย์ จะทำให้แพทย์ก็ดี ผู้ป่วยก็ดี หรือประชาชนทั่วไปก็ดี ต่างรู้จักสิทธิและหน้าที่อันพึงมีพึงได้ตามที่กฎหมายกำหนด เพื่อการพิทักษ์สิทธิของตน,
96,การรู้เทคโนโลยีสารสนเทศ | IT Literacy,มหาวิทยาลัยเชียงใหม่,['คอมพิวเตอร์และเทคโนโลยี'],การรู้เทคโนโลยีสารสนเทศ เป็นรายวิชาที่มีเนื้อหาเกี่ยวกับความรู้ ความเข้าใจ และมีทักษะการใช้งานเทคโนโลยีสารสนเทศในด้านการจัดการงานเอกสารด้วยโปรแกรม Microsoft Word การจัดทำตารางหรือแบบฟอร์มเก็บข้อมูลด้วยโปรแกรม Microsoft Excel และการสร้างไฟล์นำเสนองาน (Presentation) ด้วยโปรแกรม Microsoft PowerPoint,
97,การจัดการจดหมายเหตุและวัตถุพิพิธภัณฑ์ท้องถิ่น | Management of Local Archive and Museum Objects,มหาวิทยาลัยราชภัฏสุราษฎร์ธานี,['ศิลปวัฒนธรรมและศาสนา'],"รายวิชานี้มุ่งเน้นให้ผู้เรียนเรียนรู้และทำความเข้าใจเกี่ยวกับความหมาย ประเภท ความสำคัญ บทบาท
และคุณค่าของเอกสารจดหมายเหตุและพิพิธภัณฑ์ท้องถิ่น ซึ่งจะช่วยให้นักศึกษาและประชาชนได้มีโอกาส
ที่จะเรียนรู้และจัดการได้อย่างถูกต้อง
สาระสำคัญของประกอบด้วย การจัดการเอกสารและวัตถุพิพิธภัณฑ์ การคัดเลือก จัดระบบ
การสงวนรักษาอนุรักษ์ และการประยุกต์เทคโนโลยีดิจิทัลในการจัดการจดหมายเหตุและพิพิธภัณฑ์",
98,การออกแบบสื่อเพื่อการโฆษณา | Media Design for Advertising,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,['ธุรกิจและการบริหารจัดการ'],,
99,"การผลิตสื่อโฆษณาที่ปลอดภัยและสร้างสรรค์ : โฆษณาปลอดภัย | Ethical and Creative Online Advertising : Legal, Ethics, and Professional Responsibility",สมาคมโฆษณาแห่งประเทศไทย,['ธุรกิจและการบริหารจัดการ'],,
100,การสร้างเครือข่ายด้วยการสื่อสารผ่านสื่อสังคมออนไลน์ | Network Creating with Communication in Social Media,มหาวิทยาลัยศรีนครินทรวิโรฒ,['คอมพิวเตอร์และเทคโนโลยี'],ความหมายและองค์ประกอบของเครือข่าย ลักษณะของเครือข่าย การสร้างและการก่อเกิดเครือข่าย ข้อเสนอแนะในการสร้างเครือข่าย ความหมายและองค์กรกอบของการสื่อสาร องค์ประกอบของระบบเครือข่ายเบื้องต้น อิทธิพลและการใช้สื่อสังคมออนไลน์อย่างสร้างสรรค์ วิธีการสร้างเครือข่ายสังคมออนไลน์อย่างสร้างสรรค์ เป็นต้นเลือกใช้และกลยุทธ์การใช้สื่อใหม่ เทคนิคการนำเสนอผ่านสื่อใหม่,
101,เทคโนโลยีสารสนเทศสำหรับปัจจุบันและอนาคต | IT for the Present and Beyond,มหาวิทยาลัยวลัยลักษณ์,['คอมพิวเตอร์และเทคโนโลยี'],ปัจจุบันเทคโนโลยีสารสนเทศมีความสำคัญในการใช้ชีวิตประจำวันของเรา ทำให้เกิดนวัตกรรมใหม่ๆ ซึ่งกลายเป็นสิ่งอำนวยความสะดวกให้กับมนุษย์นำพาประเทศก้าวสู่โมเดล “ประเทศไทย 4.0” หรือ “ไทยแลนด์ 4.0” ซึ่งเป็นหนึ่งในกลุ่มเทคโนโลยีและอุตสาหกรรมเป้าหมาย นั้นคือกลุ่มดิจิตอล เทคโนโลยีอินเตอร์เน็ตที่เชื่อมต่อและบังคับอุปกรณ์ต่างๆ ปัญญาประดิษฐ์และเทคโนโลยีสมองกลฝังตัว เทคโนโลยีสารสนเทศสำหรับปัจจุบันและอนาคต ช่วยสร้างเข้าใจและให้คุณค่าเทคโนโลยีสารสนเทศและการสื่อสารในชีวิตประจำวัน นอกจากนั้นทำให้เข้าใจความก้าวหน้าและแนวโน้มในอนาคตของเทคโนโลยีสารสนเทศและการสื่อสาร นำไปใช้ในการจัดการข้อมูลและระบบสารสนเทศเพื่อพัฒนาคุณภาพชีวิต ทำให้รู้เท่าทันสื่อและสารสนเทศ สามารถใช้เทคโนโลยีสารสนเทศเพื่อเพิ่มประสิทธิภาพในการทำงาน รวมถึงการจัดการความรู้ การเลือก การสังเคราะห์ และการนำเสนอสารสนเทศ,
102,การถ่ายภาพรังสีภายในช่องปากทางทันตกรรม | Intra Oral Radiology in Dental Work,มหาวิทยาลัยเชียงใหม่,['สุขภาพและการแพทย์'],กระบวนวิชาการถ่ายภาพรังสีในช่องปากเป็นวิชาที่ให้ความรู้แก่ทั้งผู้ที่ทำงานด้านการให้บริการทางทันตกรรม และผู้สนใจทั่วไป เนื้อหาวิชาจะเกี่ยวกับเทคนิคการถ่ายภาพรังสีในช่องปากชนิดต่างๆ อุปกรณ์ที่ใช้ในการถ่ายภาพ ความผิดพลาดที่เกิดขึ้นในขบวนการการถ่ายภาพและการแก้ไขปัญหาที่เกิดขึ้น นอกจากนี้ยังรวมถึงเหตุผลของการที่ต้องรับการถ่ายภาพรังสีในช่องปาก รวมถึงการเตรียมตัวที่เหมาะสมก่อนเข้ารับการถ่ายด้วย,
103,ความรู้เกี่ยวกับกระบวนการยุติธรรมทางอาญาในการดำเนินคดีความผิดเกี่ยวกับการค้ามนุษย์ | Knowledge of Criminal Justice System in Conducting Human Trafficking Cases,สถาบันนิติวัชร์ สำนักงานอัยการสูงสุด,['สังคม การเมืองการปกครอง'],,
104,ภูมิปัญญาอีสานจากใบลาน | Wisdom of Isan Palm-Leaf Manuscripts,มหาวิทยาลัยมหาสารคาม,['ภาษาและการสื่อสาร'],เอกสารโบราณอันเป็นหลักฐานเก่าแก่ ที่เป็นตัวอักษรหรือตัวหนังสือที่บันทึกเรื่องราวต่างๆ ด้วยภาษาในอดีต ซึ่งมีภูมิปัญญา วิถีชีวิต วัฒนธรรมอีสาน อันสะท้อนให้เห็นถึงประวัติศาสตร์ทางด้านภูมิปัญญา เช่น ตำรายา คาถาอาคม กฎหมายโบราณ หลักธรรมคำสอนทางพระพุทธศาสนาประวัติศาสตร์ พงศาวดาร โหราศาสตร์ วรรณคดี,
105,ชีวิตทันยุค | Start Up Life,มหาวิทยาลัยสุโขทัยธรรมาธิราช,['สังคม การเมืองการปกครอง'],รายวิชา ชีวิตทันยุค (Start Up Life) รายวิชาที่เน้นการพัฒนาศักยภาพคนพิการ การเสริมสร้างความสามารถของคนพิการให้มีสมรรถภาพที่ดี สามารถช่วยเหลือตัวเองได้ในด้านการประกอบอาชีพ สร้างรายได้ให้ตนเอง ครอบครัว และชุมชน รวมถึงคุณภาพชีวิตและเจตคดิที่ดีขึ้น สามารถอยู่ในสังคมได้อย่างมีความสุขและเท่าเทียมกับผู้อื่นในสังคม และในปัจจุบันคนพิการส่วนใหญ่มีความสามารถไม่ต่างกับคนทั่วไปเช่น การร้องเพลง การเต้น เล่นกีฬา งานฝีมือต่างๆ เป็นต้น จึงทำใหมีการพัฒนาและส่งเสริมอาชีพให้คนพิการอย่างจริงจัง แต่การจะประสบความสำเร็จอย่างยั่งยืนได้นั้น ไม่เพียงแต่การสร้างอาชีพหรือเดินอยู่ที่เดิม แต่จะต้องมีการมองถึงอนาคตและผลักดันให้ชีวิตคนพิการมีการพัฒนาอย่างก้าวกระโดดด้วยเทคโนโลยีที่เข้ามาขับเคลื่อนและเปิดช่องทางในการประกอบอาชีพหรือการนำเสนอตนเองสู่สากล,
106,ระบบสารสนเทศทางบัญชี | Accounting Information System,มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนาตาก,['คอมพิวเตอร์และเทคโนโลยี'],"รายวิชา ""ระบบสารสนเทศทางบัญชีเพื่อสร้างกลยุทธ์องค์กร"" เป็นการบูรณาการศาสตร์ทางด้านการบัญชี บริหารธุรกิจและเทคโนโลยีสารสนเทศเข้าด้วยกัน เพื่อประยุกต์ใช้สำหรับการประกอบธุรกิจในยุคแห่งเทคโนโลยี",
107,การเรียนรู้วิชาคณิตศาสตร์แบบสะเต็มศึกษา | Learning Mathematics using STEM based approach,มหาวิทยาลัยมหิดล,['คณิตศาสตร์และวิทยาศาสตร์'],,
108,เทคโนโลยีทางภาพถ่ายเพื่อสื่อสารการศึกษา | Photographic Technology for Educational Communications,มหาวิทยาลัยสงขลานครินทร์,['คอมพิวเตอร์และเทคโนโลยี'],,
109,Digital Financial Literacy เข้าใจการใช้จ่ายในยุคดิจิทัล,ตลาดหลักทรัพย์แห่งประเทศไทย,"['ธุรกิจและการบริหารจัดการ', 'ทักษะชีวิตและการพัฒนาตนเอง']",เรียนรู้และเข้าใจการใช้จ่ายต่าง ๆ ในยุคดิจิทัล เช่น การใช้จ่ายผ่านบัตรอิเล็กทรอนิกส์ และพร้อมเพย์ รวมถึงเคล็ดลับในการใช้งานให้ปลอดภัย,
110,ภาษาเกาหลีเบื้องต้น 2 세계로 통하는 한국어 : 초급 Ⅱ | A bridge to the world: Korean Language for Beginners Ⅱ,National Institute for Lifelong Education,['ภาษาและการสื่อสาร'],"หลักสูตรนี้เป็นหลักสูตรภาษาเกาหลีเบื้องต้นลำดับที่ 2 ซึ่งจะช่วยพัฒนาทักษะการสื่อสารภาษาเกาหลีของผู้เรียนในหัวข้อต่างๆ เช่น การจราจร, สภาพอากาศ, งานอดิเรก เป็นต้นนอกจากนี้ผู้เรียนจะสามารถวางแผน, นัดหมาย และใช้สิ่งอำนวยความสะดวกต่างๆ เป็นภาษาเกาหลีได้อย่างมีประสิทธิภาพผ่านการฝึกฝนอย่างมุ่งมั่นตั้งใจ และเข้าใจเกี่ยวกับลักษณะเฉพาะทางรูปแบบภาษาของภาษาเกาหลีผ่านการเรียนไวยากรณ์ในระดับที่ยากยิ่งขึ้น

หลักสูตรนี้เหมาะสำหรับผู้เรียนชาวต่างชาติที่มีความรู้ด้านภาษาเกาหลีระดับพื้นฐานและผู้ที่ต้องการศึกษาภาษาเกาหลีในระดับต้น เนื้อหาส่วนใหญ่ของหลักสูตรอยู่ในระดับ TOPIK 1~2 ผู้เรียนที่กำลังศึกษา TOPIK สามารถประยุกต์ใช้เนื้อหาในหลักสูตรเพื่อการสอบวัดระดับได้

สำหรับผู้เรียนที่เรียนหลักสูตร ‘ภาษาเกาหลีเบื้องต้น 1’ แล้ว จะสามารถทำความเข้าใจหลักสูตรนี้ได้ดียิ่งขึ้น หลักสูตรนี้จะช่วยพัฒนาทักษะภาษาเกาหลีต่อจากหลักสูตรภาษาเกาหลีเบื้องต้นลำดับที่ 1 ซึ่งเรียนเกี่ยวกับวิธีการสนทนาหัวข้อในชีวิตประจำวันเป็นภาษาเกาหลี เช่น การทักทาย, การแนะนำตัว, การตั้งคำถาม เป็นต้น รวมถึงเข้าใจคำศัพท์พื้นฐานเกี่ยวกับสิ่งของที่อยู่รอบตัว, สถานที่, การกระทำ เป็นต้น",
111,การผลิตวีดิทัศน์สำหรับรายวิชา Thai MOOC |,Video Production for Thai MOOC,โครงการมหาวิทยาลัยไซเบอร์ไทย,['การศึกษาและการฝึกอบรม'],"รายวิชา การผลิตวีดิทัศน์สำหรับรายวิชา Thai MOOC
Video Production for Thai MOOC"
112,การปฏิบัติงานบนเรือ | Work Task on Board,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,['ภาษาและการสื่อสาร'],"The learners to identify the main rank categories onboard and the corresponding specific ranks in each category, and describe the duties and responsibilities of each rank category; lower ranks present themselves to the higher rank officials in the ship

วิชานี้มีวัตถุประสงค์เพื่อให้ผู้เรียนระบุตำแหน่งผู้ปฏิบัติงานหลักบนเรือ และตำแหน่งเฉพาะของแต่ละฝ่าย และอธิบายหน้าที่และความรับผิดชอบของแต่ละตำแหน่ง นอกจากนี้ ต้องแนะนำตัวเองตามวิธีการปฏิบัติบนเรือที่ผู้ที่มีตำแหน่งต่ำกว่าจะต้องแนะนำตัวเองกับผู้ที่มีตำแหน่งสูงกว่าบนเรือ",
113,ระบบสารสนเทศเพื่อการบริหาร | Management Information System,จุฬาลงกรณ์มหาวิทยาลัย,['คอมพิวเตอร์และเทคโนโลยี'],,
114,การออกแบบสื่ออินเตอร์แอคทีฟเพื่อการศึกษา | Design Interactive Media for Education,มหาวิทยาลัยราชภัฏสวนสุนันทา,['การศึกษาและการฝึกอบรม'],การออกแบบสื่อปฏิสัมพันธ์ (Interactive Media) โดยนำเสียง วีดิทัศน์ กราฟฟิก ภาพนิ่ง และภาพเคลื่อนไหวต่างๆ มาใช้ในการเรียนการสอน ประยุกต์ใช้โปรแกรม Microsoft PowerPoint มาจัดกิจกรรมการเรียนการสอนที่เหมาะสมต่อสภาพแวดล้อมและศักยภาพของผู้เรียน,
115,การส่งเสริมสุขภาพผู้สูงอายุ | Health Promotion for Older People,มหาวิทยาลัยสุโขทัยธรรมาธิราช,['สุขภาพและการแพทย์'],,
116,องค์การแห่งการเรียนรู้ | Learning Organization,จุฬาลงกรณ์มหาวิทยาลัย,['การศึกษาและการฝึกอบรม'],,
117,อาหารไทยเพื่อสุขภาพและการชะลอวัย | Thai Food for Health and Anti-Aging,มหาวิทยาลัยวลัยลักษณ์,['อาหารและโภชนาการ'],หลักการ แนวคิดและความสำคัญเรื่องอาหารเพื่อสุขภาพและการชะลอวัย ปัจจัยที่มีอิทธิพลต่อพฤติกรรมการบริโภคอาหารของบุคคลในแต่ละช่วงวัย การสร้างเสริมพฤติกรรมการบริโภคอาหาร การให้คำแนะนำเรื่องอาหารไทยเพื่อส่งเสริมสุขภาพและการชะลอวัย,
118,ความรู้เกี่ยวกับกระบวนการยุติธรรมทางอาญาในการดำเนินคดีทุจริตและประพฤติมิชอบ | Knowledge of Criminal Justice System in Conducting Corruption and Misconduct Cases,สถาบันนิติวัชร์ สำนักงานอัยการสูงสุด,['สังคม การเมืองการปกครอง'],,
119,특수 목적 관광 | Special Interest Tourism (Korean Caption),มหาวิทยาลัยแม่ฟ้าหลวง,['ธุรกิจและการบริหารจัดการ'],"교과목 개요

특수목적 관광 (Special Interest Tourism, SIT) 현상과 전통적인 형태의 관광과의 관계; 다양한 특수 목적과 ‘틈새’ 관광 시장 부문 행동, 특수목적 관광 활동의 성장과 다양성; 생태 관광, 건강 관광 등 특수목적 관광의 유형",
120,การต่อต้านการทุจริตในประเทศไทย | Anti-Corruption in Thailand,มหาวิทยาลัยเชียงใหม่,['สังคม การเมืองการปกครอง'],ความหมายของการทุจริตในสังคมไทย มุมมองของภาคส่วนต่างๆต่อการทุจริตในสังคมไทย สาเหตุการทุจริตในสังคมไทย รูปแบบและผลกระทบของการทุจริตในสังคมไทย กฎหมายเกี่ยวกับการต่อต้านการทุจริตของไทย กรณีศึกษาการทุจริตในสังคมไทย และแนวทางการแก้ไขปัญหาการทุจริตในสังคมไทย,
121,เครื่องมือออนไลน์เพื่อการเรียนรู้ในศตวรรษที่ 21 | Online Tools for 21st Century Learning,มหาวิทยาลัยวลัยลักษณ์,['คอมพิวเตอร์และเทคโนโลยี'],รายวิชานี้มุ่งให้ผู้เรียนออกแบบและใช้เทคโนโลยีใหม่ ๆ เพื่อสนับสนุนความคิดสร้างสรรค์และส่งเสริมการเรียน ผู้เรียนมีโอกาสได้ทดลองใช้เทคโนโลยีใหม่ วิเคราะห์แนวคิดด้านการออกแบบการเรียนการสอนภายใต้แนวคิดของการใช้ประโยชน์จากเทคโนโลยี ประเมินผลตรวจสอบกระบวนการเรียนรู้หลังจากใช้เทคโนโลยี,
122,การบริหารโครงการ IT แบบมืออาชีพ | Professional IT Project Management,มหาวิทยาลัยราชภัฏสุราษฎร์ธานี,['คอมพิวเตอร์และเทคโนโลยี'],,
123,แคลคูลัสสำหรับวิศวกร | Calculus for Engineer,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,['วิศวกรรมและสถาปัตยกรรม'],"คำอธิบายรายวิชา นำเสนอรายละเอียดเนื้อหาของรายวิชาอย่างย่อ :
ลิมิตและความต่อเนื่องของฟังก์ชัน การหาอนุพันธ์ บทประยุกต์ของอนุพันธ์",
124,การจัดการเลี้ยงดูสัตว์เลี้ยงสวยงาม | Pet Management,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,['เกษตรและสิ่งแวดล้อม'],ในรายวิชานี้ผู้เรียนจะได้เรียนรู้เกี่ยวกับการจัดการเลี้ยงดูสัตว์เลี้ยงสวยงามเช่น สุนัข แมว หนู นก และกระต่าย เป็นต้น โดยศึกษาพันธุ์ การคัดเลือก การปรับปรุงพันธุ์ กรงและอุปกรณ์การเลี้ยง การให้อาหาร การจัดการเลี้ยงดู การป้องกันโรค และกฏหมายที่เกี่ยวข้องได้,
125,ภาวะผู้นำกับความรับผิดชอบต่อหน้าที่ | Leadership and Responsibility,สำนักงานพัฒนารัฐบาลดิจิทัล (องค์การมหาชน),['คอมพิวเตอร์และเทคโนโลยี'],ภาวะผู้นำกับความรับผิดชอบต่อหน้าที่ จะศึกษาถึงบทบาท หน้าที่ และคุณลักษณะของผู้นำที่มีความรับผิดชอบต่อตนเองต่อผู้อื่นและต่อสังคมการพัฒนาภาวะผู้นำ การนำตนเอง การกำหนดเป้าหมาย บุคลิกภาพของการเป็นผู้นำการนำทีมและการสร้างทีมงานให้มีประสิทธิภาพ รวมทั้งการสร้างแรงจูงใจ การสอนงาน(Coaching) การมีทักษะสื่อสาร การตัดสินใจและการแก้ไขปัญหา ตลอดจนการบริหารความขัดแย้ง เพื่อสามารถนำไปใช้งานได้จริงในยุคดิจิทัล,
126,循環經濟初探 เศรษฐกิจหมุนเวียน | Circular Economy,Tamkang University,['เกษตรและสิ่งแวดล้อม'],"This course starts from the establishment of a circular ecosystem (aquaponics) as a teaching
module, and guides students into the concept of circular economy through ecological cycles and
the big data ecological economy. It integrates humanities and technology, theory and practice.",
127,ระบบสนับสนุนการตัดสินใจสำหรับองค์กรธุรกิจ | Decision Support Systems,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,['ทักษะชีวิตและการพัฒนาตนเอง'],คุณลักษณะของระบบสนับสนุนการตัดสินใจ แนวคิดการดำเนินการตัดสินใจ การพัฒนาระบบสนับสนุนการตัดสินใจ มุมมองพื้นฐานของกระบวนการตัดสินใจ การใช้ระบบสารสนเทศสนับสนุนกระบวนการตัดสินใจ ระบบฐานความรู้ ระบบผู้เชี่ยวชาญ และระบบการตัดสินใจแบบกลุ่ม,
128,Data + AI for Communication: เครื่องมือปัญญาประดิษฐ์สำหรับวิเคราะห์ข้อมูลพฤติกรรมผู้บริโภคเชิงลึก | Data + AI for Communication: Data Analytics Tool for AI marketing and Consumer Insight,สถาบันบัณฑิตพัฒนบริหารศาสตร์,['ธุรกิจและการบริหารจัดการ'],"รายวิชานี้มุ่งเน้นให้ผู้เรียนได้เกิดความเข้าใจในการใช้ปัญญาประดิษฐ์ เพื่อการรับฟังเสียงจากสื่อสังคม Social Listening หรือการค้นหา Customer Insight ตั้งแต่ความหมาย ประเภทของแหล่งข้อมูล การค้นหา Customer Insight ด้วยเครื่องมือต่างๆ อาทิ การใช้ Python ตลอดจนโปรแกรมสำเร็จรูป เช่น การทำงานระบบของ Zanroo ระบบ Mandala รวมทั้ง การบริหารจัดการความเสี่ยงในมุมของ Social Listening และการใช้ประโยชน์ของ Social Analytics สำหรับ SMEs

พัฒนารายวิชาโดย : นิเทศ@นิด้า",
129,การผลิตรายการโทรทัศน์ | Television Program Production,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,['คอมพิวเตอร์และเทคโนโลยี'],,
130,Coding for All - ฉลาดคิด พิชิตยุคดิจิทัล | Thinking smart toward the digital age,สถาบันส่งเสริมการสอนวิทยาศาสตร์และเทคโนโลยี,['คอมพิวเตอร์และเทคโนโลยี'],วิชา “Coding for All - ฉลาดคิด พิชิตยุคดิจิทัล” เนื้อหาประกอบด้วย การจัดลำดับวิธีคิดในการแก้ปัญหาในชีวิตประจำวัน การใช้เทคโนโลยีเพื่อช่วยในการทำงานและใช้ชีวิตประจำวัน การมีวิจารณญาณในการวิเคราะห์ข้อมูล การรู้เท่าทันสื่อและเทคโนโลยี และการใช้งานเทคโนโลยีดิจิทัลได้อย่างมีประสิทธิภาพ และมีจริยธรรม,
131,ความคิดสร้างสรรค์สำหรับการออกแบบสื่อเสียง | Creative Ideas for Audio Design,มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,['การศึกษาและการฝึกอบรม'],สอนแนวทางการใช้ความคิดสร้างสรรค์สร้างงานเสียงประกอบสื่อมัลติมีเดียได้ง่ายๆ ด้วยตัวคุณเอง,
132,วิเคราะห์วงจรไฟฟ้ากระแสตรง | DC Electric Circuit Analysis,มหาวิทยาลัยนเรศวร,['วิศวกรรมและสถาปัตยกรรม'],ทฤษฏีบทการวิเคราะห์วงจรไฟฟ้ากระแสตรง ในรูปวงจรความต้านทาน ตัวเก็บประจุ ตัวเหนี่ยวนำ และวงจรออปแอมป์,
133,สร้างสรรค์สื่อวีดิทัศน์ยุคใหม่ | Creative Video Production,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,['คณิตศาสตร์และวิทยาศาสตร์'],วิชานี้เรียนเกี่ยวกับ ความหมาย ประโยชน์ และรูปแบบของรายการวีดิทัศน์ ทีมงานและกระบวนการผลิตรายการวีดิทัศน์ มุมภาพและการเคลื่อนกล้อง แสงและเสียงในรายการวีดิทัศน์ การเขียนบทวีดิทัศน์ การตัดต่อรายการวีดิทัศน์,
134,การบริหารงานภาครัฐ | Public Administration,มหาวิทยาลัยนเรศวร,['สังคม การเมืองการปกครอง'],"ระบบราชการ ระบบราชการกับการเมือง การแบ่งส่วนราชการและหน่วยงานของรัฐ อํานาจหน้าที่ การดําเนินการตามกฎหมายและนโยบายของรัฐ หลักการปฏิบัติงานภาครัฐเพื่อให้มีประสิทธิภาพและประสิทธิผลสูงสุด การบริหารองค์กรภาครัฐ การบริหารการดำเนินงานบริการสาธารณะ การจัดการภาครัฐแนวใหม่ และจิตสำนึกในการบริหารภาครัฐ

Bureaucracy system’ bureaucracy and politics, segregation of government service’s duties and government sectors, authorities, state’s policy government service’s working procedures to ensure the most efficient and effective results, public organization administration, the administration of public services, new public management, and public mind for public administration",
135,เทคโนโลยีเกษตร สำหรับคนเกษตร | Agri Tech for Smart Farmer,สำนักงานส่งเสริมเศรษฐกิจดิจิทัล,['เกษตรและสิ่งแวดล้อม'],,
136,การวิเคราะห์และตรวจสอบโครงสร้างคอนกรีตเสริมเหล็กในกรณีภัยพิบัติ | Reinforced Concrete for Earthquake Disaster Evaluation,มหาวิทยาลัยมหิดล,['วิศวกรรมและสถาปัตยกรรม'],"การวิเคราะห์และตรวจสอบโครงสร้างคอนกรีตเสริมเหล็กในกรณีภัยพิบัติ
Reinforced Concrete for Earthquake Disaster Evaluation",
137,การพัฒนานวัตกรรมการเรียนรู้ยุคสร้างสรรค์ | Developing Learning Innovation for the Creativity Era,มหาวิทยาลัยนเรศวร,['คอมพิวเตอร์และเทคโนโลยี'],,
138,อาหารนานาชาติ | International Cuisine,มหาวิทยาลัยเชียงใหม่,"['ศิลปวัฒนธรรมและศาสนา', 'อาหารและโภชนาการ']",ปัจจัยที่ส่งผลให้เกิดความแตกต่างทางด้านวัฒนธรรมการบริโภคอาหารของคนในแต่ละภูมิภาค ตามที่ตั้งของประเทศ ประเภทและลักษณะเฉพาะของอาหารนานาชาติ วัตถุดิบที่ใช้ในการประกอบอาหาร เทคนิคและหลักการประกอบอาหารตามมาตรฐานสากล,
139,ศาสตร์แห่งการชะลอวัย | The Science of Rejuvenation,มหาวิทยาลัยนเรศวร,['สุขภาพและการแพทย์'],กลไกการเปลี่ยนแปลงของเซลล์ เนื้อเยื่อ อวัยวะต่าง ๆ ในร่างกายที่เกิดขึ้นตามวัย ปัจจัยที่เกี่ยวข้องทั้งภายในและภายนอก การประยุกต์ใช้ความรู้พื้นฐานทางวิทยาศาสตร์สุขภาพเพื่อป้องกัน ดูแล ส่งเสริมสุขภาพและชะลอความเสื่อมของระบบต่างๆ ของร่างกายเพื่อให้มีคุณภาพชีวิตที่ดีขึ้น,
140,ชีวิตและการสร้างคุณค่า | Life and Value Creation,สถาบันวิทยาลัยชุมชน,['ทักษะชีวิตและการพัฒนาตนเอง'],,
